datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,exception,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times
2026-01-14T16:33:33.661190+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S9,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 72.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 52.23 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 16.25 GiB memory in use. Of the allocated memory 15.18 GiB is allocated by PyTorch, and 355.15 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
2026-01-14T16:33:41.522197+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S9,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 144.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 52.17 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 16.30 GiB memory in use. Of the allocated memory 15.19 GiB is allocated by PyTorch, and 347.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
2026-01-14T16:33:48.820327+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 18.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 16.23 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 52.25 GiB memory in use. Of the allocated memory 51.20 GiB is allocated by PyTorch, and 341.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
2026-01-14T16:33:57.006059+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 36.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 16.17 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 52.30 GiB memory in use. Of the allocated memory 51.20 GiB is allocated by PyTorch, and 341.18 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
2026-01-14T16:34:42.198276+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,100663296,1207812096,"{'iterations': 132, 'residual norms': [0.027077948860412045, 6.166597510963409, 5.563266858908389, 8.36277178352719, 5.151740361133386, 3.5950281448735604, 4.572007271662893, 3.720253607042899, 4.2990474953891225, 3.0695109012274515, 3.1007169118629463, 2.5166665657135554, 1.792553233602287, 1.2161340258346947, 1.1835932083101026, 0.9918230265211662, 0.6516739231398139, 0.6637249213160759, 0.49463124267201514, 0.33502976504783194, 0.25399822639977787, 0.16303864153819037, 0.11915529173777643, 0.07989589669557626, 0.04050691800176719, 0.019872768641372066, 0.01312926560095199, 0.008819493497074837, 0.009080295042764197, 0.011522857842154097, 0.01429146618889878, 0.009384668656019078, 0.006425417567277609, 0.00617044570549572, 0.0040419128009981774, 0.0031548140326066606, 0.002414171355431127, 0.0021180102390777914, 0.0037681035417941235, 0.003419261940879081, 0.0021439001547030106, 0.0016306004147139492, 0.0015180482750806574, 0.0015154829079986809, 0.0014365512350072013, 0.0011135013100194335, 0.0006007027443489406, 0.00043761316994614656, 0.0004235833842015882, 0.00044367825350755667, 0.0003208309128760072, 0.0002642297785753774, 0.00015213357997096577, 8.8160896941755e-05, 8.723197984264951e-05, 7.33321700821926e-05, 5.089166697922696e-05, 3.097787127129533e-05, 1.9049456529012165e-05, 1.8622773343268362e-05, 1.2961978290445469e-05, 9.857802969476548e-06, 9.667252837951897e-06, 9.633213431295828e-06, 8.109741971337672e-06, 5.3035486592608215e-06, 3.723809680872976e-06, 3.5728262310816284e-06, 2.9962030345393923e-06, 3.0778308114957663e-06, 2.5900572593437307e-06, 2.4753604091513973e-06, 1.8292436263335246e-06, 1.806571326288988e-06, 2.1466642963201626e-06, 2.3076700296132264e-06, 1.7417156076793492e-06, 1.1936650879783199e-06, 9.605255001024843e-07, 7.602004939307027e-07, 6.651691866584675e-07, 5.618458555475983e-07, 4.141695648911235e-07, 3.765501839131483e-07, 3.2723182340148975e-07, 2.775594077986714e-07, 1.7946831533792976e-07, 1.3630367668139308e-07, 1.0245346924928957e-07, 7.228921235804504e-08, 7.12528916263077e-08, 4.1530298043425014e-08, 2.7467803247411017e-08, 1.7014379536977954e-08, 1.1727234925420928e-08, 1.2394921697997054e-08, 1.2036277537945726e-08, 8.905577600526533e-09, 7.364578735392053e-09, 5.869518651698206e-09, 5.767093726267189e-09, 5.8618613861238685e-09, 4.8978571407366825e-09, 3.4438472863091056e-09, 3.211278056512802e-09, 2.146769138454852e-09, 1.8323368493147372e-09, 1.971010214581462e-09, 1.995855521323006e-09, 1.8134368983522202e-09, 1.7154148227283119e-09, 1.8159628626139765e-09, 1.4087817196193432e-09, 1.0909381606217404e-09, 9.172222547936542e-10, 6.178410912705838e-10, 4.740978187235301e-10, 4.993882666281672e-10, 4.2322671642703384e-10, 3.3328754783443934e-10, 2.564777612816254e-10, 2.287650516151162e-10, 2.2491970428832936e-10, 1.7641348687414167e-10, 1.4565078962433188e-10, 1.2147880273023173e-10, 9.265517213572558e-11, 7.997882681397637e-11, 7.1452502321956e-11, 5.311059609690122e-11, 3.760409428174956e-11, 2.7204764136066345e-11, 2.5781412101907202e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,2.8475559582465264e-11,,"[4330.3447265625, 2929.2529296875, 2924.61962890625, 2929.830322265625, 2920.3017578125, 2928.2587890625, 2922.89013671875, 2927.89990234375, 2918.010498046875, 2919.387451171875]",[3150.109130859375],[3463.2822265625],[2846.989990234375],[375.79913330078125],[360.2311706542969]
2026-01-14T16:35:30.414686+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,100663296,1207812096,"{'iterations': 129, 'residual norms': [6.166436141150957, 5.800159061483477, 7.2440533854859055, 4.530481357354492, 3.8530188337695774, 4.410675207622801, 4.255134830715121, 3.3439337178163786, 3.057404995647411, 2.328099916272091, 1.5326765420822368, 1.3193056251399602, 1.1776952734971196, 0.8764234745355354, 0.6877242760989223, 0.5421855914190985, 0.3481805629009364, 0.18749022117757191, 0.1307668639643447, 0.08611636067778289, 0.051754843064595164, 0.029619659231349172, 0.015190599215881034, 0.008685583614666604, 0.010787518519598482, 0.013323868615738073, 0.01252544349128953, 0.009486793710564585, 0.006699214218319317, 0.005321281808656034, 0.0042175853982259065, 0.002009790285706203, 0.002633110623440135, 0.0028922678276657367, 0.0024633327507654953, 0.0018534594855452147, 0.0017145277967479662, 0.0018330780407745972, 0.0018322782821225706, 0.0009001276690528852, 0.00042128191528527094, 0.00027288687758966214, 0.00021322058568672546, 0.00021259720687966859, 0.00015739449696744193, 0.00011758830770814091, 8.501271816689015e-05, 7.960153005046265e-05, 0.00011741988839376144, 6.570221523956127e-05, 5.5382396328798264e-05, 6.0251813751586354e-05, 6.292022531412966e-05, 4.734081396718774e-05, 4.31532627242145e-05, 2.7509954836552622e-05, 1.8389207478034346e-05, 1.4183695944670017e-05, 1.2625824774309957e-05, 1.0708041716184277e-05, 6.690501505494305e-06, 5.887448713435799e-06, 3.806668585444966e-06, 3.067745841804237e-06, 3.26401085527737e-06, 3.3826509616788136e-06, 2.4681063793984855e-06, 1.7724709764510736e-06, 1.2478111863581394e-06, 1.142618636811797e-06, 1.3074326080062654e-06, 1.278046702466092e-06, 1.1686240210118213e-06, 7.589083905905591e-07, 6.477124322898176e-07, 4.7639603641647967e-07, 3.7019728657789995e-07, 3.2792909142097785e-07, 3.7565987491282246e-07, 3.8593969220018154e-07, 2.455583766120494e-07, 1.6084107689090421e-07, 1.1884343207548095e-07, 8.485144033382865e-08, 7.672491032738456e-08, 5.0930998475742335e-08, 3.697195794867047e-08, 3.218614137214212e-08, 3.056291947916609e-08, 3.068800871690855e-08, 2.4256926350518836e-08, 1.9396424713776807e-08, 1.577854143827315e-08, 1.4412287424969258e-08, 1.3966974678989557e-08, 1.0831888047588448e-08, 9.678009188889319e-09, 7.826786773478584e-09, 7.0109786353655335e-09, 7.1146780808484075e-09, 5.576262265088847e-09, 4.445744496288235e-09, 4.434895250837064e-09, 3.435935232162554e-09, 2.2452386611411658e-09, 1.6730468263650754e-09, 1.4155924182865302e-09, 1.1100574648236393e-09, 6.989462607822264e-10, 6.350354865839637e-10, 4.930271331840522e-10, 4.1738624830373726e-10, 3.877700103376734e-10, 3.223288727240297e-10, 2.5708192549715307e-10, 2.273480726835764e-10, 2.285710558943914e-10, 1.8483698266707407e-10, 1.5303244461624677e-10, 1.435203490150136e-10, 1.1863330301736573e-10, 1.1968315693539794e-10, 1.0368280032011521e-10, 6.992439807644069e-11, 5.42431999414756e-11, 4.672830088422036e-11, 3.953533205142315e-11, 3.432672077186687e-11, 3.025956284694322e-11, 2.640514154572691e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,2.9015001434659084e-11,,"[3154.686279296875, 3087.382080078125, 3089.660888671875, 3096.91015625, 3087.74462890625, 3084.325927734375, 3088.243896484375, 3087.5380859375, 3084.259521484375, 3086.158203125]",[2460.72314453125],[3700.48876953125],[5841.0458984375],[45.423744201660156],[373.5174255371094]
2026-01-14T16:36:23.898173+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,100663296,1207812096,"{'iterations': 180, 'residual norms': [0.027077948860412045, 6.166528719761095, 5.038842057181996, 6.525776143640936, 5.181362424726551, 3.74497650832821, 4.679363249333542, 4.413134432006226, 3.7489858790940214, 3.8498253486948486, 3.8947594566268124, 3.2746878909229147, 3.936677951784078, 2.6783456660230516, 2.2915505852071156, 1.6161858411501082, 1.7441688922284664, 1.4457081893942745, 1.4578271844183708, 1.2200053349971762, 0.8222245269892514, 0.5428839079652329, 0.5445250248842168, 0.4636655867299748, 0.5059388730465899, 0.3538849507616044, 0.22656023720452234, 0.12287637566410954, 0.062308592412838947, 0.03691702370484372, 0.030739852474598928, 0.020488466128622432, 0.015443383927201012, 0.0106021563412196, 0.00915749731182883, 0.008946054653474289, 0.010351984529140684, 0.012401729731755826, 0.013409756016941922, 0.0095805931323813, 0.00570655665015252, 0.00380831350382134, 0.002371723091469538, 0.0021429547130293585, 0.0021638820999413198, 0.0017133547911883469, 0.0019014664106520945, 0.0014492109350043646, 0.001337018928647823, 0.001266135505166937, 0.0016368960737167557, 0.0013863267180949108, 0.001014261981099758, 0.0011419241351368183, 0.0011747493089870108, 0.0013164093320745913, 0.0008078174118987181, 0.0007421199457363327, 0.0006646522064006062, 0.0004622568628860925, 0.0004086505691417141, 0.00036942189755528843, 0.000408658971240067, 0.0003301376118479676, 0.00032752313724231417, 0.00021388451815453714, 0.00011902675919726283, 0.00010334831022900296, 9.340319340683068e-05, 5.2129829236384666e-05, 3.8574955368647806e-05, 3.624773334652049e-05, 2.2331817803318897e-05, 1.9363468372032714e-05, 2.141030320426711e-05, 1.7826004755409294e-05, 1.863529413144339e-05, 1.8653107061374813e-05, 1.9064332235324185e-05, 1.757628549405227e-05, 1.5750499923012973e-05, 1.969764529309679e-05, 1.763768313221745e-05, 1.339120473713276e-05, 9.920226915120576e-06, 1.0511650213790074e-05, 9.814954327598115e-06, 6.559528936525455e-06, 4.714456647151971e-06, 3.840198504161602e-06, 4.161101781652699e-06, 3.995935825762121e-06, 3.3899224794555655e-06, 3.1913167203908777e-06, 3.18173426423521e-06, 2.337208870370855e-06, 1.7197384423592618e-06, 1.0429562035769663e-06, 8.489512136080555e-07, 6.449000692475399e-07, 5.629652838302858e-07, 5.687000107810772e-07, 4.7668381356997987e-07, 4.380842480176204e-07, 3.984601364560481e-07, 3.5530737040995766e-07, 3.2905024011999283e-07, 3.018921612667412e-07, 2.496501949400155e-07, 2.8532231912704347e-07, 2.803641388586893e-07, 1.9905688321915371e-07, 1.531230556527662e-07, 1.2486282115312949e-07, 1.1660495388957984e-07, 1.2367727989569336e-07, 1.0137897179107788e-07, 8.510425405165272e-08, 9.670527960502781e-08, 9.919866561877746e-08, 8.608272749214277e-08, 7.661367705382735e-08, 7.003945075223859e-08, 5.955626082835504e-08, 5.774996680853017e-08, 5.061002330362745e-08, 4.121945099601996e-08, 4.289918352358536e-08, 3.8733471696409414e-08, 3.185945110811229e-08, 2.823978083085305e-08, 2.7258734085017548e-08, 2.0845088217162248e-08, 1.6004286268706734e-08, 1.2718952823617095e-08, 1.0749371215946854e-08, 9.425967484197124e-09, 8.232198629685703e-09, 7.676181766112704e-09, 7.028183226165244e-09, 5.7088362712255e-09, 4.282211117400133e-09, 3.4764660887210996e-09, 3.3662044137112217e-09, 3.163321184762374e-09, 2.670498203904847e-09, 2.1269741611385993e-09, 1.880652272022553e-09, 1.5319743302505878e-09, 1.3489654208202925e-09, 1.2606101750760106e-09, 1.0869862289477898e-09, 1.002892710264629e-09, 9.85665536314391e-10, 8.93812535616847e-10, 7.792177092205066e-10, 6.813648363057587e-10, 5.951317700519208e-10, 5.136585243236681e-10, 5.127567817158607e-10, 4.797184047116906e-10, 4.744836245891695e-10, 4.6130510944582664e-10, 3.9956669288535144e-10, 4.027120618244882e-10, 3.7749389366077596e-10, 3.532483928489734e-10, 3.1324749085616364e-10, 2.5455126215006957e-10, 2.1923038495056147e-10, 1.8431382128112763e-10, 1.5570487470854864e-10, 1.226120994484601e-10, 9.971921643481358e-11, 8.33363231700041e-11, 6.696388569610186e-11, 5.3496287676066765e-11, 4.265528249099262e-11, 3.692685063185994e-11, 3.0164365324700265e-11, 2.5977496767065232e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,2.953293761446253e-11,,"[4441.25537109375, 3836.64013671875, 3841.468994140625, 3833.14208984375, 3829.404296875, 3824.254150390625, 3827.57958984375, 3827.037841796875, 3826.288818359375, 3832.758544921875]",[2276.431884765625],[3703.00634765625],[2836.51806640625],[348.42108154296875],[329.3380432128906]
2026-01-14T16:37:22.563140+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,100663296,1207812096,"{'iterations': 176, 'residual norms': [6.166436141152189, 5.440553331703628, 6.163853879818384, 4.477351154692243, 3.9986541553063333, 5.0460035432909445, 3.992458526616552, 3.9908486745801053, 4.033180355389608, 3.3050668821351716, 4.4583862335040685, 2.9213570573943985, 2.4337618032199204, 1.8886585569007763, 1.5306042097048844, 1.5960113810014256, 1.4669284523330415, 1.30233848749363, 0.7771501130309142, 0.5735235429914242, 0.47098394345031985, 0.45178415797895716, 0.36873831819552144, 0.2776286274995177, 0.13480984448732852, 0.051618611200350516, 0.03126796317989953, 0.01930277918904321, 0.015603320021806765, 0.01174270981452011, 0.01031867513370263, 0.009669768194892547, 0.011107692760870036, 0.013420537350845951, 0.012694805580303423, 0.010464214380343449, 0.0051763342330833845, 0.003462838163067914, 0.0027704475609813626, 0.0025662454938132143, 0.0024156644026626308, 0.001680652260420427, 0.0013802176148706227, 0.0016290934249843557, 0.0012026849135953021, 0.0013191926488456969, 0.0014688631967782325, 0.0012710127670961821, 0.00110065008988686, 0.0014458505914708133, 0.0012407809520443415, 0.000779855987053784, 0.000653603975816099, 0.0004160370863640318, 0.00030272030242711295, 0.0002897425782089351, 0.00023242861153682242, 0.00022956165824027843, 0.00020523318750571753, 0.0001733634985832032, 0.00011834640192019849, 8.841368624135318e-05, 7.532854734877318e-05, 5.872330239358993e-05, 3.4771270084396576e-05, 3.609043719909615e-05, 4.2715573751703964e-05, 3.644544702858735e-05, 5.0130564555252945e-05, 4.3068228048322415e-05, 3.2116128463799584e-05, 3.849758713445014e-05, 3.0313494280660038e-05, 2.7617736176179333e-05, 2.4038090101583122e-05, 2.3094353103945036e-05, 1.3531023646544707e-05, 8.95084259709603e-06, 7.315900604008012e-06, 7.306731018437389e-06, 5.902412576554883e-06, 4.634065089292859e-06, 4.962630831635134e-06, 5.609236909326306e-06, 3.229626799660943e-06, 2.8345555906265384e-06, 2.298608551411594e-06, 1.921947260146216e-06, 1.4473808967383727e-06, 1.1779548627948967e-06, 1.1595042635168948e-06, 1.390764708473882e-06, 1.1709763709492234e-06, 1.1766497165875698e-06, 1.000660566728807e-06, 8.955237153561663e-07, 7.75611953822578e-07, 6.23095857846624e-07, 5.014382845927674e-07, 4.6989976191914433e-07, 4.5043757193552876e-07, 4.0450652165847584e-07, 3.7017981660211514e-07, 2.9545262295223666e-07, 3.0368312427704196e-07, 3.8417787589447744e-07, 3.0401674585153513e-07, 2.2354514284442392e-07, 2.097372589514137e-07, 1.9689511726713192e-07, 1.412362499345935e-07, 9.896324281998702e-08, 7.276433761668068e-08, 7.182468084358052e-08, 7.200767499675878e-08, 5.508484407652656e-08, 4.1144856454851765e-08, 3.775811514973029e-08, 3.0751406839750005e-08, 2.5807261023806544e-08, 2.524387599673803e-08, 2.5181607029760556e-08, 2.2296292073401705e-08, 1.7425600965943216e-08, 1.415670415264687e-08, 1.3292048769842098e-08, 1.2318724639723978e-08, 1.0769917187210484e-08, 9.621233529397353e-09, 8.276555301086312e-09, 7.318235811443318e-09, 6.595408759843982e-09, 6.2554722726531075e-09, 5.748294887936772e-09, 5.5376985671845204e-09, 5.458431338838563e-09, 5.790688791768801e-09, 4.678869601238315e-09, 3.6527870430671623e-09, 3.2834108723908228e-09, 2.93455190547127e-09, 2.7891948623048024e-09, 2.1430467934621586e-09, 1.663911199452032e-09, 1.379193120028431e-09, 1.2276282992548551e-09, 1.049522205997785e-09, 9.061566390596254e-10, 7.262708671243204e-10, 6.038851727532862e-10, 5.556791510317571e-10, 4.868612719358437e-10, 3.927929268302821e-10, 3.242380027456792e-10, 2.84913712295289e-10, 2.393496259587696e-10, 2.308644030146889e-10, 1.9086663256256414e-10, 1.614922042637383e-10, 1.342062021784532e-10, 1.358620778521975e-10, 1.499461199881038e-10, 1.4271027434974035e-10, 1.2836032006244067e-10, 1.059545899770695e-10, 9.485054371654504e-11, 8.01048112198615e-11, 7.002109895171081e-11, 6.551626010561749e-11, 5.380003541970651e-11, 4.6047934554338966e-11, 4.2903914762526844e-11, 3.921110044762051e-11, 3.899061940070584e-11, 3.746622276426239e-11, 3.041296813253429e-11, 2.390312579548002e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,2.767726050777066e-11,,"[4249.68798828125, 4096.96630859375, 4102.421875, 4093.268798828125, 4091.089111328125, 4105.80419921875, 4096.24365234375, 4093.999267578125, 4087.4619140625, 4090.303955078125]",[1844.3543701171875],[4047.7109375],[5427.35595703125],[376.99664306640625],[338.0256042480469]
2026-01-14T16:37:32.832349+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 18.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 15.06 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 53.41 GiB memory in use. Of the allocated memory 51.38 GiB is allocated by PyTorch, and 773.09 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
2026-01-14T16:37:43.671217+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,100663296,1207812096,,"CUDA out of memory. Tried to allocate 36.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 14.84 GiB is free. Process 1167379 has 10.77 GiB memory in use. Process 4025482 has 53.64 GiB memory in use. Of the allocated memory 51.41 GiB is allocated by PyTorch, and 749.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,
